source_id,doi,channel,condition,drug,cell_id,t_s,value,unit,fs_Hz,imaging_modality,file_origin
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row5,1200.0,360939.111416579,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row5,1200.0,368487.050523808,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row5,1200.0,269975.293044703,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row6,1200.0,252940.06975881,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row6,1200.0,350200.797201899,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row6,1200.0,326823.182142683,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row6,1200.0,243719.931214478,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row7,1200.0,282821.605928405,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row7,1200.0,334673.690772582,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row7,1200.0,343915.021351061,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row7,1200.0,250963.455157513,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row8,1200.0,245197.479880941,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row8,1200.0,346686.646997714,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row8,1200.0,372277.197666169,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row8,1200.0,248392.699071966,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row9,1200.0,263156.210607526,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row9,1200.0,386655.716657402,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row9,1200.0,395269.701674321,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row9,1200.0,247764.312837749,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row10,1200.0,298409.316609633,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row10,1200.0,356808.50281988,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row10,1200.0,349720.139803873,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row10,1200.0,275774.2302209,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row11,1200.0,301281.270860546,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row11,1200.0,323103.78990746,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row11,1200.0,409304.0241449,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row11,1200.0,255536.445967945,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row12,1200.0,276620.668278797,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,rot,rot,row12,1200.0,257444.584951005,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oligo,none,row12,1200.0,299715.78415838,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,fccp,fccp,row12,1200.0,292453.655495072,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
elife-73808-fig2-data1-v2.xlsx:intensity,10.7554/eLife.73808,NAD(P)H_intensity,oxamate,oxamate,row13,1200.0,275585.990635138,a.u.,,FLIM,real_bioelectric_data/data_raw/elife_nadh/elife-73808-fig2-data1-v2.xlsx
